Name,Address,Type,Property Age,No. of units,Transactions in last 180 days,Latest transaction unit price
福群大廈 (香港仔大道),香港仔大道223-227號,屋苑,35,462,10,$13231
華貴?,華貴道3號,屋苑,0,3716,9,$7235
薄扶林花園,薄扶林道180號,屋苑,39,1120,7,$16234
鴨?洲中心,利枝道138號,屋苑,35,352,6,-
年豐大廈,鴨?洲大街25-31號,單幢物業,37,120,6,-
鴻福苑,田灣新街2-4號,屋苑,21,700,6,$8164
金寶花園,南朗山道8號,屋苑,33,294,6,$15574
景惠花園,香港仔大道8號,屋苑,29,192,5,$12980
深灣9號,惠福道9號,屋苑,6,411,5,-
高寶閣,鴨?洲大街129號,單幢物業,31,172,4,$14452
怡慶大廈,鴨?洲大街150號,單幢物業,33,88,4,$15119
碧麗大廈,漁歌街5號,單幢物業,39,144,4,$14397
悅海華庭,悅海街1號,屋苑,20,992,4,$14017
南濤閣,深灣道3號,屋苑,23,1040,3,-
華富閣,華樂徑4號,單幢物業,40,200,3,-
建輝大廈,香港仔大道18-20號,單幢物業,39,126,3,$12970
海利大廈,鴨?洲大街49-55號,單幢物業,27,92,3,$15067
港麗豪園,漁獲街1號,屋苑,19,235,3,$12526
港暉中心,香港仔舊大街108號,單幢物業,26,174,3,-
仁勝大廈,石排灣道56-62號,單幢物業,30,76,3,-
仁正大廈,鴨?洲大街97-103號,單幢物業,33,78,2,$14100
安輝大廈,香港仔舊大街82號,單幢物業,41,97,2,$12581
南灣御園,香港仔大道238號,單幢物業,10,180,2,-
嘉寧大廈,香港仔大道76-88號,單幢物業,39,90,2,-
逸港居,香港仔海傍道3號,屋苑,18~19,550,2,-
嘉和大廈,嘉禾街14-22號,屋苑,40,339,2,-
富臨軒,華富道8號,單幢物業,15,122,2,$12237
嘉隆苑,田灣海旁道,屋苑,27,1402,1,-
南景花園,石排灣道80號,單幢物業,23,146,1,-
利豐大廈,鴨?洲大街147號,單幢物業,28,144,1,-
南區．左岸,鴨?洲徑8號,屋苑,2,118,1,-
珍寶大廈,香港仔大道201號,單幢物業,30,88,1,-
僑民大廈,鴨?洲大街145號,單幢物業,32,83,1,-
金發大廈,利枝道145號,單幢物業,32,168,1,-
雙喜大廈,香港仔大道52-64號,單幢物業,46,169,1,-
利是大廈,洪聖街20號,單幢物業,31,138,1,-
順景閣,鴨?洲大街33號,單幢物業,23,63,1,-
樂景大廈,鴨?洲大街165-167號,單幢物業,37,83,1,-
兆暉大廈,石排灣道81號,單幢物業,21,54,1,-
海光閣,香港仔大道26號,單幢物業,26,52,1,-
安泰大廈,湖南街1-3號,單幢物業,34,51,1,$14388
海洋大廈,香港仔舊大街64-70號,單幢物業,35,56,1,$14451
益添大廈,嘉禾街5-11號,單幢物業,39,58,-,-
四喜大廈,石排灣道90-96號,單幢物業,43,54,-,-
富澤大廈,石排灣道48-54號,單幢物業,26,96,-,-
兆群大廈,香港仔舊大街120號,單幢物業,25,96,-,-
倚南,鴨?洲大街68號,單幢物業,2,106,-,-
珍寶閣,惠福道3號,單幢物業,39,168,-,-
利港中心,成都道38號,單幢物業,29,176,-,-
金豐大廈,香港仔大道171號,單幢物業,32,261,-,-
百良大廈,利民道7號,單幢物業,32,100,-,-
登峰•南岸,登峰街1號,單幢物業,2,153,-,-
海峰華軒,香港仔大道244號,單幢物業,18,122,-,-
般含臺,般咸道24-26號,單幢物業,42,52,39,-
寶翠園,薄扶林道89號,屋苑,17~18,2214,35,$22240
雍景臺,羅便臣道70號,屋苑,24,651,9,$20541
駿豪閣,干德道52號,單幢物業,25,288,9,$23793
嘉兆臺,羅便臣道10號,屋苑,23~26,558,8,$18768
學士臺,薄扶林道101號,屋苑,29,632,8,$16630
翰林軒,蒲飛路23號,屋苑,22,444,7,$17456
殷樺花園,干德道56號,屋苑,23,348,7,$20289
承德山莊,干德道33號,屋苑,27,235,7,-
景雅花園,羅便臣道103號,單幢物業,29,140,6,-
輝煌臺,西摩道1號,單幢物業,22,198,6,$21408
慧豪閣,干德道22號,屋苑,24,336,5,$23521
寶華軒,堅道117號,單幢物業,17,122,5,$20892
蔚然,西摩道2A號,單幢物業,6,126,5,$29923
聯邦花園,干德道41號,屋苑,44~47,399,5,-
香港花園,西摩道8號,單幢物業,43,107,5,$21421
懿峰,西摩道9號,單幢物業,7,84,5,$33563
君德閣,干德道20號,單幢物業,26,108,4,-
御景臺,堅道46號,單幢物業,19,143,4,$19621
蔚晴軒,英輝台3號,單幢物業,18,174,4,-
高雲臺,西摩道2號,單幢物業,24,328,4,$22280
怡林閣,摩星嶺道2A號,屋苑,30,116,4,-
年豐園,干德道51號,屋苑,43~47,108,4,-
柏道2號,柏道2號,單幢物業,14,148,4,$23979
樂信臺,羅便臣道8號,屋苑,29,484,4,$22053
豫苑,柏道6號,屋苑,29,440,4,$17274
寧養臺,般咸道78A-78B號,屋苑,31~32,180,3,$19660
福澤花園,西摩道11號,屋苑,30,186,3,$18145
輝煌豪園,西摩道3號,單幢物業,18,189,3,$29988
嘉和苑,列堤頓道52號,單幢物業,29,146,3,$22507
金堅大廈,堅道119-125號,單幢物業,45,154,3,-
采文軒,般咸道63號,單幢物業,24,104,3,$18329
美景臺,美景徑2-28號,屋苑,41~44,210,3,-
正大花園,羅便臣道27號,單幢物業,40,80,3,-
俊傑花園,列堤頓道48號,單幢物業,22,280,3,-
應彪大廈,卑利士道1-3號,單幢物業,22,132,3,-
瑧環,堅道38號,單幢物業,6,106,3,$26053
康和大廈,堅道15號,單幢物業,45,93,2,$16667
尚嶺,山道100號,單幢物業,2,106,2,$21889
樂賢閣,巴丙頓道25號,單幢物業,30,72,2,-
美麗閣,衛城道10號,單幢物業,48,139,2,-
輝鴻閣,羅便臣道83號,單幢物業,29,174,2,-
豐樂閣,堅道99號,單幢物業,33,90,2,$16864
禮賢閣,般咸道80-82號,屋苑,43,219,2,-
